job_name,company_name,salary_low,salary_high,location,experience,education,company_size,industry,description,salary_mid,skill_Python,skill_SQL,skill_Excel,skill_Pandas,skill_NumPy,skill_Tableau,skill_PowerBI,skill_机器学习,skill_数据挖掘,skill_爬虫,skill_Spark,skill_Hadoop,skill_统计分析,skill_可视化,skill_A/B测试,skill_MySQL,skill_Hive,skill_ETL,skill_数据仓库,skill_FineBI
Python-短期-平安资管-上海-金融,鹏开信息,14.0,15.0,浦东新区,3-5年,大专,500-999人,计算机软件," 外派：平安资管 平安资管项目包 Python T8-T10 现场面试
地址：上海陆家嘴中国平安金融大厦 29F 短期项目 
做过金融相关系统，能够去理顺数据关系，做过投资类系统最好。
熟悉sql，懂datax，有数据处理方面的经验，一些常用的数据处理模块pandas和numpy是要求有经验的。",14.5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,上海翰翰智能科技,9.0,13.0,浦东新区,1-3年,大专,20-99人,电气机械/器材," 岗位职责:
1.设计、开发和维护Python相关模块。
2.参与系统功能设计，确保代码质量和模块稳定性。
3.与团队合作，快速定位并解决技术问题。
任职要求：
1.熟练掌握Python编程语言，具备良好的编码习惯。
2.具备扎实的编程基础，能够独立完成模块开发。
3.具有良好的团队合作精神，能够有效沟通。",11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可接受2025届无经验同学（Java，Python）,华为技术,14.0,28.0,青浦区,经验不限,本科,10000人以上,通信/网络设备,"Java//C++//PyTorch//技术专家带教//线上面试//Linux开发/部署经验//Python 欢迎投递
【岗位要求)
1、全日制统招本科学历，熟悉Python等主流开发语言:
2、了解网络知识、Linux配置和Shell使用;
3、了解常用的软件架构模式、基本的编程编译工具;
4、具有良好的沟通能力，对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。",21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python数据分析,上海同梁智能科技,6.0,8.0,杨浦区,1-3年,本科,20-99人,互联网,"Python 岗位职责：
1. 辅助和承担公司金融项目交易策略的编写和列装。
2. 进行数据的搜集或整理，对金融市场数据进行分析挖掘；
3. 有较强的数据分析能力，熟练使用 Pandas，Numpy；
任职要求：
1. 本科及以上学历，计算机相关专业（硬件类除外）；
2. 扎实的编程基础，掌握python，熟练使用 Pandas，Numpy，会vnpy者优先；
3. 优秀的沟通和表达能力，清楚的表达个人想法；
4. 勤奋踏实，善于自我激励，有极强的自控力和执行能力。
选择我们的9大理由：
1.办公室坐落于同济大学本部，浓厚的校园氛围，吃遍同济6大食堂（湖南卫视都报道过：“吃在同济”），有上海最好的恒温游泳馆（同济大学游泳馆），羽毛球、乒乓球、网球、篮球场地数不胜数，我公司员工可享受比同济大学生更好的各类场馆设施（去运动，公司报销门票，赞助饮料）。
2.公司有资质为员工办理上海居住证，按国家规定缴纳社会保险公积金（基本养老保险、基本医疗保险、工伤保险、失业保险、生育保险、上海市住房公积）。
3.办公地址位于同济大学同济联合广场，有同济大学和上海市政府基金投资背景。
4.交通便利，地铁有8号线和10号线,。
5.公司办公环境开放，企业内部人际关系简单，员工之间相处融洽、和睦（相亲相爱一家人）。
6.金融人工智能行业前景一片光明。你将有宝贵的机会和我们团队共同工作、进步，学习到金融、量化投资、人工智能等金融与金融科技领域的前沿知识。团队成员来自全球名校，如帝国理工学院、卡耐基梅隆、清华大学、北京大学、复旦大学、上海交通大学、同济大学、上海财经大学、上海理工大学的本科、硕士与博士生。
7、公司内部拥有庞大的技术知识库，公司每周会组织各类的学习，对每个员工进行职业的规划，员工可根据自身的特点和规划选择不同的发展路线。
8、公司处于高速发展阶段，在业绩上有突出贡献者，有机会成为公司股东
9、公司鼓励员工自我成长，替身工作能力。按照分月报销，自愿申请的制度。为有志在岗位领域自我精进的同事，免费报销外出培训所产生的相关费用。",7.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python实习生,博文書院,8.0,12.0,嘉定区,1-3年,本科,100-499人,培训/辅导机构," 岗位职责:
1. 参与Python相关项目的开发与维护
2. 参与系统设计，确保代码质量和系统稳定性
3. 与团队合作，完成项目需求分析及模块划分
任职要求：
1. 具备良好的Python编程能力，能够独立完成模块开发
2. 具有团队合作精神，能够与团队成员有效沟通
3. 对新技术有较快的学习能力，能够不断提升个人技能",10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python后端工程师,上海礼聪,11.0,18.0,杨浦区,1-3年,大专,20-99人,互联网,"Python//Kafka//Redis//MySQL//微服务经验//架构设计经验//lua 职位描述：
1、负责内部系统的后端开发，参与需求分析，撰写相关技术文档；
2、按照项目计划，按时提交高质量代码，完成开发任务；
3、不断迭代产品，持续优化性能与用户体验。
职位要求：
1、3-5年工作经验，具备优秀的编码能力，至少2年以上的Python实际开发经验；
2、熟悉常用的业务组件，包括但不限于MySQL、Redis、Kafka、RocketMQ等开源系统，并了解其特性和基本原理；
3、具备产品业务意识、逻辑分析能力、学习能力，对业务逻辑进行合理的抽象和拆分；
4、积极乐观，责任心强，具有良好的团队沟通与协作能力；
5、有参与过高并发系统的设计、开发经验的优先。
6、有AI工程化开发经验者优先。",14.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
python开发（北上皆可）,某私募基金公司,25.0,50.0,上海,经验不限,本科,20-99人,互联网,"Python//Django//Flask//MySQL//Linux开发/部署经验 【职位描述】
1.开发、维护、测试、优化金融量化系统；
2.为量化研究提供支持，包括数据结构化处理和分析、分析工具实现、风险和异常分析。
【职位要求】
1.0-2年相关经验；熟练应用Python 或者Matlab；
2.985 硕士及以上学历；计算机相关专业，包括但不限于计算机科学与技术、软件工程、自动化、电子信息工程、通信工程；具有较好的数理基础；
3.有大规模数据存储、并行和分布式计算等方面经验；或者在大型数理竞赛中取得过较好的名次；具备一定的金融知识；
4.优秀的学习能力、理解能力、独立思考解决问题的能力；
5.积极主动，责任心强，具有出色的沟通能力和团队合作精神；
6.对量化行业有兴趣，有志于在量化投资领域长期发展。",37.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
python,华为,15.0,30.0,浦东新区,经验不限,本科,10000人以上,计算机软件,"Python//Java//C++//C//Django//MySQL 岗位职责:
1. 使用Python语言进行软件的设计、开发和维护工作；
2. 与团队成员合作，解决开发过程中的技术问题；
3. 优化开发流程，提升工作效率。
任职要求：
1. 具备良好的团队协作能力和沟通技巧；
2. 有能力独立解决技术难题；
3. 对工作认真负责，能在紧迫的时间期限内完成任务。",22.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Python开发工程师（急招、急招）,软通动力,10.0,15.0,浦东新区,经验不限,本科,10000人以上,计算机软件,"python//python编程//功能//软件自动化//MySQL//pyqt//开发//性能//Linux开发/部署经验//wxpythone//Python 1.统招本科及以上学历，理工科相关专业,1~2年工作经历；
2.熟悉软件开发流程，理解敏捷理念，熟悉面向对象软件设计模式；
3.熟悉python编程，参与过系统级项目开发经验，有独立模块交付经验；
4.熟悉python多线程、分布式应用开发等，有wxpythone、pyqt等经验的优先
5.熟悉使用Git等常用版本工具；
6.对各种测试方法和策略，如黑盒、白盒、压力、功能、性能等测试有了解；
7.有自动化测试系统开发经验者优先",12.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
python（接受优秀25届）,某大型信息与通信技术公司,15.0,30.0,上海,1-3年,本科,10000人以上,计算机软件,"Python//Django//Flask//Scrapy//Numpy//PyTorch//MySQL//Redis//Linux开发/部署经验//分布式经验//微服务经验 岗位职责;
1、负责微服务/模块/组件的需求分析、软件设计、代码实现、上线交付等端到端的工作，参与项目阶段性ShowCase，确保所负责模块可信、及时、高质量交付；
2、识别共享业务对象、统一建模、沉淀公共能力，构建中台能力，以API方式开放与共享能力；
3、参与构筑二次开发环境、DevOps工具链。
任职资格：
1、掌握Python编码语言，熟练使用Python标准库和流行的第三方库，以及Flask、Django、Tornado等开源框架，熟悉常用的设计模式和数据结构；
2、了解DevOps开发流程、微服务开发、云原生应用设计及开发模式；
3、熟悉基本的linux系统命令；
4、具有大型软件项目系统设计与开发经验者优先；
5、具备高度的责任心、主动性、沟通能力、团队合作精神，共同追求团队成功。",22.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
